	Addendum J for CY2025 ranks to determine primary assignment of comprehensive HCPCS codes									
45560	Repair of rectocele	J1	5313	"2,752.57"	306	89	"3,908.15"	"2,514"	 	
45172	Exc rect tum transanal full	J1	5313	"2,752.57"	898	837	"3,798.80"	"2,515"	 	
46948	Int hrhc tranal dartlzj 2+	J1	5313	"2,752.57"	451	428	"3,789.41"	"2,516"	 	
45160	Excision of rectal lesion	J1	5313	"2,752.57"	8	8	"3,703.43"	"2,517"	 	
46761	Repair of anal sphincter	J1	5313	"2,752.57"	15	3	"3,548.45"	"2,518"	 	
46288	Repair anal fistula	J1	5313	"2,752.57"	149	138	"3,510.78"	"2,519"	 	
46262	Remove in/ex hem grps w/fist	J1	5313	"2,752.57"	24	20	"3,508.22"	"2,520"	 	
45505	Repair of rectum	J1	5313	"2,752.57"	136	66	"3,443.24"	"2,521"	 	
45320	Proctosigmoidoscopy ablate	J1	5313	"2,752.57"	18	17	"3,419.92"	"2,522"	 	
46706	Repr of anal fistula w/glue	J1	5313	"2,752.57"	12	11	"3,414.59"	"2,523"	 	
46947	Hemorrhoidopexy by stapling	J1	5313	"2,752.57"	526	457	"3,340.38"	"2,524"	 	
46753	Reconstruction of anus	J1	5313	"2,752.57"	12	10	"3,328.68"	"2,525"	 	
46260	Remove in/ex hem groups 2+	J1	5313	"2,752.57"	"4,666"	"4,424"	"3,143.22"	"2,526"	 	
46261	Remove in/ex hem grps & fiss	J1	5313	"2,752.57"	60	51	"3,134.67"	"2,527"	 	
45171	Exc rect tum transanal part	J1	5313	"2,752.57"	"1,343"	"1,199"	"3,134.27"	"2,528"	 	
46250	Remove ext hem groups 2+	J1	5313	"2,752.57"	377	305	"2,983.26"	"2,529"	 	
46700	Repair of anal stricture	J1	5313	"2,752.57"	70	49	"2,919.77"	"2,530"	 	
46255	Remove int/ext hem 1 group	J1	5313	"2,752.57"	"1,635"	"1,349"	"2,874.78"	"2,531"	 	
46060	Incision of rectal abscess	J1	5313	"2,752.57"	162	140	"2,853.39"	"2,532"	 	
46945	Int hrhc lig 1 hroid w/o img	J1	5313	"2,752.57"	313	204	"2,836.70"	"2,533"	 	
46612	Anoscopy remove lesions	J1	5313	"2,752.57"	34	30	"2,812.70"	"2,534"	 	
46610	Anoscopy remove lesion	J1	5313	"2,752.57"	58	51	"2,762.27"	"2,535"	 	
0249T	Ligation hemorrhoid w/us	J1	5313	"2,752.57"	0	0	"2,752.57"	"2,536"	YES	
0377T	Anoscpy inj agent for incont	J1	5313	"2,752.57"	0	0	"2,752.57"	"2,537"	YES	
46070	Incision anal septum infant	J1	5313	"2,752.57"	0	0	"2,752.57"	"2,538"	 	
46760	Repair of anal sphincter	J1	5313	"2,752.57"	0	0	"2,752.57"	"2,539"	 	
C9796	Rpr intst excl anrect fist	J1	5313	"2,752.57"	0	0	"2,752.57"	"2,540"	 	
46257	Remove in/ex hem grp & fiss	J1	5313	"2,752.57"	45	40	"2,728.12"	"2,541"	 	
46917	Laser surgery anal lesions	J1	5313	"2,752.57"	69	45	"2,726.32"	"2,542"	 	
46258	Remove in/ex hem grp w/fistu	J1	5313	"2,752.57"	21	17	"2,723.44"	"2,543"	 	
46946	Int hrhc lig 2+hroid w/o img	J1	5313	"2,752.57"	448	336	"2,705.01"	"2,544"	 	
45349	Sigmoidoscopy w/resection	J1	5313	"2,752.57"	506	491	"2,696.05"	"2,545"	 	
46275	Remove anal fist inter	J1	5313	"2,752.57"	621	494	"2,628.00"	"2,546"	 	
46922	Excision of anal lesion(s)	J1	5313	"2,752.57"	"2,416"	"2,001"	"2,617.82"	"2,547"	 	
45390	Colonoscopy w/resection	J1	5313	"2,752.57"	"15,886"	"15,211"	"2,617.43"	"2,548"	 	
45020	Drainage of rectal abscess	J1	5313	"2,752.57"	21	18	"2,607.06"	"2,549"	 	
46200	Removal of anal fissure	J1	5313	"2,752.57"	379	288	"2,588.06"	"2,550"	 	
45100	Biopsy of rectum	J1	5313	"2,752.57"	743	608	"2,584.92"	"2,551"	 	
45500	Repair of rectum	J1	5313	"2,752.57"	2	1	"2,575.35"	"2,552"	 	
46020	Placement of seton	J1	5313	"2,752.57"	996	712	"2,540.41"	"2,553"	 	
46280	Remove anal fist complex	J1	5313	"2,752.57"	404	365	"2,531.89"	"2,554"	 	
46924	Destruction anal lesion(s)	J1	5313	"2,752.57"	600	518	"2,530.32"	"2,555"	 	
46270	Remove anal fist subq	J1	5313	"2,752.57"	"1,131"	883	"2,479.24"	"2,556"	 	
46285	Remove anal fist 2 stage	J1	5313	"2,752.57"	102	90	"2,465.80"	"2,557"	 	
45307	Proctosigmoidoscopy fb	J1	5313	"2,752.57"	14	12	"2,447.83"	"2,558"	 	
46940	Treatment of anal fissure	J1	5313	"2,752.57"	12	9	"2,446.28"	"2,559"	 	
46080	Incision of anal sphincter	J1	5313	"2,752.57"	361	356	"2,397.16"	"2,560"	 	
45990	Surg dx exam anorectal	J1	5313	"2,752.57"	"1,056"	850	"2,322.02"	"2,561"	 	
46045	Incision of rectal abscess	J1	5313	"2,752.57"	60	37	"2,250.46"	"2,562"	 	
46615	Anoscopy	J1	5313	"2,752.57"	153	139	"2,221.05"	"2,563"	 	
46230	Removal of anal tags	J1	5313	"2,752.57"	402	250	"2,173.52"	"2,564"	 	
46754	Removal of suture from anus	J1	5313	"2,752.57"	2	2	"2,090.36"	"2,565"	 	
45308	Proctosigmoidoscopy removal	J1	5313	"2,752.57"	10	9	"2,042.47"	"2,566"	 	
45190	Destruction rectal tumor	J1	5313	"2,752.57"	69	62	"1,961.16"	"2,567"	 	
45108	Anorectal myomectomy	J1	5313	"2,752.57"	2	2	"1,526.05"	"2,568"	 	
65260	Remove foreign body from eye	J1	5491	"2,295.47"	2	1	"5,314.61"	"2,569"	 	
65900	Remove eye lesion	J1	5491	"2,295.47"	3	1	"4,090.08"	"2,570"	 	
66185	Revise aqueous shunt eye	J1	5491	"2,295.47"	451	332	"3,584.31"	"2,571"	 	
65265	Remove foreign body from eye	J1	5491	"2,295.47"	15	4	"3,560.48"	"2,572"	 	
67299	Unlisted px posterior segmnt	J1	5491	"2,295.47"	117	66	"3,470.16"	"2,573"	 	
66985	Insert lens prosthesis	J1	5491	"2,295.47"	868	214	"3,365.35"	"2,574"	 	
65875	Incise inner eye adhesions	J1	5491	"2,295.47"	136	14	"3,365.04"	"2,575"	 	
66682	Repair iris & ciliary body	J1	5491	"2,295.47"	224	53	"3,315.72"	"2,576"	 	
67101	Repair detached retina crtx	J1	5491	"2,295.47"	29	18	"3,221.25"	"2,577"	 	
65930	Remove blood clot from eye	J1	5491	"2,295.47"	38	16	"3,199.69"	"2,578"	 	
66160	Glaucoma surgery	J1	5491	"2,295.47"	22	9	"3,191.83"	"2,579"	 	
67005	Partial removal of eye fluid	J1	5491	"2,295.47"	568	45	"3,184.48"	"2,580"	 	
66986	Exchange lens prosthesis	J1	5491	"2,295.47"	"2,514"	737	"3,171.61"	"2,581"	 	
68330	Revise eyelid lining	J1	5491	"2,295.47"	16	3	"3,168.23"	"2,582"	 	
65815	Drainage of eye	J1	5491	"2,295.47"	100	58	"3,162.64"	"2,583"	 	
67015	Release of eye fluid	J1	5491	"2,295.47"	303	208	"3,098.32"	"2,584"	 	
67030	Incise inner eye strands	J1	5491	"2,295.47"	9	5	"3,035.12"	"2,585"	 	
67010	Partial removal of eye fluid	J1	5491	"2,295.47"	326	38	"2,972.11"	"2,586"	 	
66983	Cataract surg w/iol 1 stage	J1	5491	"2,295.47"	149	118	"2,940.21"	"2,587"	 	
67121	Remove eye implant material	J1	5491	"2,295.47"	521	324	"2,928.46"	"2,588"	 	
66635	Removal of iris	J1	5491	"2,295.47"	7	1	"2,923.85"	"2,589"	 	
66820	Incision secondary cataract	J1	5491	"2,295.47"	46	3	"2,921.23"	"2,590"	 	
65850	Trabeculotomy ab externo	J1	5491	"2,295.47"	170	33	"2,843.77"	"2,591"	 	
66170	Glaucoma surgery	J1	5491	"2,295.47"	"1,646"	"1,119"	"2,792.15"	"2,592"	 	
66172	Incision of eye	J1	5491	"2,295.47"	274	233	"2,694.34"	"2,593"	 	
65870	Incise inner eye adhesions	J1	5491	"2,295.47"	79	10	"2,689.33"	"2,594"	 	
66680	Repair iris & ciliary body	J1	5491	"2,295.47"	112	47	"2,667.13"	"2,595"	 	
65810	Drainage of eye	J1	5491	"2,295.47"	53	31	"2,666.12"	"2,596"	 	
66850	Removal of lens material	J1	5491	"2,295.47"	824	396	"2,633.40"	"2,597"	 	
66184	Revision of aqueous shunt	J1	5491	"2,295.47"	224	134	"2,581.55"	"2,598"	 	
67120	Remove eye implant material	J1	5491	"2,295.47"	312	200	"2,569.50"	"2,599"	 	
66825	Reposition intraocular lens	J1	5491	"2,295.47"	739	392	"2,566.63"	"2,600"	 	
66920	Extraction of lens	J1	5491	"2,295.47"	65	21	"2,562.98"	"2,601"	 	
66982	Xcapsl ctrc rmvl cplx wo ecp	J1	5491	"2,295.47"	"29,698"	"27,552"	"2,554.95"	"2,602"	 	
66625	Removal of iris	J1	5491	"2,295.47"	56	7	"2,516.54"	"2,603"	 	
67025	Replace eye fluid	J1	5491	"2,295.47"	146	57	"2,441.48"	"2,604"	 	
66630	Removal of iris	J1	5491	"2,295.47"	14	3	"2,387.28"	"2,605"	 	
66505	Incision of iris	J1	5491	"2,295.47"	5	1	"2,385.31"	"2,606"	 	
66030	Injection treatment of eye	J1	5491	"2,295.47"	146	105	"2,384.25"	"2,607"	 	
65920	Remove implant of eye	J1	5491	"2,295.47"	398	128	"2,359.54"	"2,608"	 	
66711	Ecp ciliary body destruction	J1	5491	"2,295.47"	119	74	"2,323.98"	"2,609"	 	
66220	Repair eye lesion	J1	5491	"2,295.47"	0	0	"2,295.47"	"2,610"	YES	
66605	Removal of iris	J1	5491	"2,295.47"	0	0	"2,295.47"	"2,611"	 	
66984	Xcapsl ctrc rmvl w/o ecp	J1	5491	"2,295.47"	"259,216"	"247,203"	"2,261.67"	"2,612"	 	
65865	Incise inner eye adhesions	J1	5491	"2,295.47"	130	7	"2,134.48"	"2,613"	 	
66830	Removal of lens lesion	J1	5491	"2,295.47"	23	4	"2,102.75"	"2,614"	 	
67110	Repair detached retina	J1	5491	"2,295.47"	210	183	"2,042.00"	"2,615"	 	
66840	Removal of lens material	J1	5491	"2,295.47"	294	263	"1,810.82"	"2,616"	 	
66940	Extraction of lens	J1	5491	"2,295.47"	78	47	"1,704.73"	"2,617"	 	
65800	Drainage of eye	J1	5491	"2,295.47"	513	411	"1,691.03"	"2,618"	 	
65286	Repair of eye wound	J1	5491	"2,295.47"	111	105	"1,514.29"	"2,619"	 	
65235	Remove foreign body from eye	J1	5491	"2,295.47"	82	58	"1,435.58"	"2,620"	 	
66700	Destruction ciliary body	J1	5491	"2,295.47"	6	5	"1,429.09"	"2,621"	 	
66020	Injection treatment of eye	J1	5491	"2,295.47"	250	220	"1,225.35"	"2,622"	 	
66500	Incision of iris	J1	5491	"2,295.47"	42	12	916.81	"2,623"	 	
66999	Unlisted px ant segment eye	J1	5491	"2,295.47"	"1,958"	242	860.88	"2,624"	 	
0699T	Njx pst chmbr eye medication	J1	5491	"2,295.47"	1	1	288.69	"2,625"	 	
67915	Repair eyelid defect	J1	5503	"2,178.76"	11	1	"5,878.65"	"2,626"	 	
68340	Separate eyelid adhesions	J1	5503	"2,178.76"	14	2	"5,713.43"	"2,627"	 	
68540	Remove tear gland lesion	J1	5503	"2,178.76"	7	2	"5,277.32"	"2,628"	 	
65270	Repair of eye wound	J1	5503	"2,178.76"	35	23	"4,560.19"	"2,629"	 	
68328	Revise/graft eyelid lining	J1	5503	"2,178.76"	30	8	"4,510.05"	"2,630"	 	
65125	Revise ocular implant	J1	5503	"2,178.76"	2	2	"4,138.46"	"2,631"	 	
67405	Explore/drain eye socket	J1	5503	"2,178.76"	18	8	"4,107.53"	"2,632"	 	
66740	Destruction ciliary body	J1	5503	"2,178.76"	10	3	"4,006.62"	"2,633"	 	
67415	Aspiration orbital contents	J1	5503	"2,178.76"	173	19	"3,854.48"	"2,634"	 	
0402T	Colgn crs-link crn&pachymtry	J1	5503	"2,178.76"	29	26	"3,726.26"	"2,635"	 	
67973	Reconstruction of eyelid	J1	5503	"2,178.76"	184	94	"3,601.17"	"2,636"	 	
67413	Explore/treat eye socket	J1	5503	"2,178.76"	22	16	"3,503.05"	"2,637"	 	
67971	Reconstruction of eyelid	J1	5503	"2,178.76"	347	193	"3,466.33"	"2,638"	 	
68510	Biopsy of tear gland	J1	5503	"2,178.76"	54	21	"3,387.09"	"2,639"	 	
67250	Reinforce eye wall	J1	5503	"2,178.76"	7	5	"3,358.57"	"2,640"	 	
67343	Release eye tissue	J1	5503	"2,178.76"	31	3	"3,292.06"	"2,641"	 	
68362	Revise eyelid lining	J1	5503	"2,178.76"	56	30	"3,121.26"	"2,642"	 	
67912	Correction eyelid w/implant	J1	5503	"2,178.76"	431	118	"3,080.27"	"2,643"	 	
68816	Probe nl duct w/balloon	J1	5503	"2,178.76"	56	16	"3,045.46"	"2,644"	 	
67715	Canthotomy	J1	5503	"2,178.76"	124	83	"3,033.83"	"2,645"	 	
67950	Revision of eyelid	J1	5503	"2,178.76"	"1,145"	340	"3,011.11"	"2,646"	 	
68371	Harvest eye tissue alograft	J1	5503	"2,178.76"	6	4	"2,918.57"	"2,647"	 	
68115	Exc les conjunctiva >1 cm	J1	5503	"2,178.76"	246	130	"2,871.76"	"2,648"	 	
67316	Revise two eye muscles	J1	5503	"2,178.76"	67	31	"2,826.16"	"2,649"	 	
68811	Probe nasolacrimal duct	J1	5503	"2,178.76"	102	20	"2,824.84"	"2,650"	 	
67412	Explore/treat eye socket	J1	5503	"2,178.76"	356	224	"2,800.55"	"2,651"	 	
65426	Removal of eye lesion	J1	5503	"2,178.76"	"1,124"	"1,059"	"2,737.99"	"2,652"	 	
65272	Repair of eye wound	J1	5503	"2,178.76"	2	1	"2,680.69"	"2,653"	 	
68320	Revise/graft eyelid lining	J1	5503	"2,178.76"	545	91	"2,652.75"	"2,654"	 	
67966	Revision of eyelid	J1	5503	"2,178.76"	869	537	"2,620.54"	"2,655"	 	
67835	Revise eyelashes	J1	5503	"2,178.76"	7	4	"2,571.44"	"2,656"	 	
67318	Revise eye muscle(s)	J1	5503	"2,178.76"	97	25	"2,556.11"	"2,657"	 	
68700	Repair tear ducts	J1	5503	"2,178.76"	372	50	"2,528.67"	"2,658"	 	
67911	Revise eyelid defect	J1	5503	"2,178.76"	509	120	"2,524.80"	"2,659"	 	
67961	Revision of eyelid	J1	5503	"2,178.76"	818	531	"2,520.52"	"2,660"	 	
65410	Biopsy of cornea	J1	5503	"2,178.76"	26	16	"2,448.90"	"2,661"	 	
65775	Correction of astigmatism	J1	5503	"2,178.76"	6	6	"2,430.03"	"2,662"	 	
67901	Repair eyelid defect	J1	5503	"2,178.76"	73	22	"2,417.00"	"2,663"	 	
66130	Remove eye lesion	J1	5503	"2,178.76"	10	3	"2,397.13"	"2,664"	 	
65420	Removal of eye lesion	J1	5503	"2,178.76"	89	64	"2,377.79"	"2,665"	 	
68815	Probe nasolacrimal duct	J1	5503	"2,178.76"	"1,814"	287	"2,369.24"	"2,666"	 	
67314	Revise eye muscle	J1	5503	"2,178.76"	"1,135"	483	"2,365.26"	"2,667"	 	
67900	Repair brow defect	J1	5503	"2,178.76"	"1,862"	205	"2,314.90"	"2,668"	 	
67935	Repair eyelid wound	J1	5503	"2,178.76"	166	92	"2,290.17"	"2,669"	 	
67914	Repair eyelid defect	J1	5503	"2,178.76"	188	55	"2,275.16"	"2,670"	 	
67917	Repair eyelid defect	J1	5503	"2,178.76"	"3,640"	"1,279"	"2,196.38"	"2,671"	 	
66250	Follow-up surgery of eye	J1	5503	"2,178.76"	"1,156"	902	"2,194.74"	"2,672"	 	
67311	Revise eye muscle	J1	5503	"2,178.76"	"1,678"	493	"2,193.78"	"2,673"	 	
68525	Biopsy of tear sac	J1	5503	"2,178.76"	42	0	"2,178.76"	"2,674"	 	
67922	Repair eyelid defect	J1	5503	"2,178.76"	4	0	"2,178.76"	"2,675"	 	
68770	Close tear system fistula	J1	5503	"2,178.76"	3	0	"2,178.76"	"2,676"	 	
66720	Destruction ciliary body	J1	5503	"2,178.76"	9	6	"2,128.41"	"2,677"	 	
68110	Exc les conjunctiva <1 cm	J1	5503	"2,178.76"	497	309	"2,081.79"	"2,678"	 	
67904	Repair eyelid defect	J1	5503	"2,178.76"	"3,686"	772	"2,008.76"	"2,679"	 	
67916	Repair eyelid defect	J1	5503	"2,178.76"	193	82	"1,991.13"	"2,680"	 	
67930	Repair eyelid wound	J1	5503	"2,178.76"	47	32	"1,979.91"	"2,681"	 	
92019	Lmtd oph exam general anes	J1	5503	"2,178.76"	100	46	"1,950.06"	"2,682"	 	
92018	Compl oph exam general anes	J1	5503	"2,178.76"	541	381	"1,943.80"	"2,683"	 	
67924	Repair eyelid defect	J1	5503	"2,178.76"	"1,432"	916	"1,925.02"	"2,684"	 	
67909	Revise eyelid defect	J1	5503	"2,178.76"	14	11	"1,884.18"	"2,685"	 	
67923	Repair eyelid defect	J1	5503	"2,178.76"	185	122	"1,873.52"	"2,686"	 	
67808	Remove eyelid lesion(s)	J1	5503	"2,178.76"	30	20	"1,846.54"	"2,687"	 	
65436	Curette/treat cornea	J1	5503	"2,178.76"	236	198	"1,806.07"	"2,688"	 	
67975	Reconstruction of eyelid	J1	5503	"2,178.76"	223	175	"1,770.73"	"2,689"	 	
67882	Revision of eyelid	J1	5503	"2,178.76"	134	53	"1,755.58"	"2,690"	 	
68135	Destruction les conjunctiva	J1	5503	"2,178.76"	163	39	"1,747.44"	"2,691"	 	
66710	Ciliary transsleral therapy	J1	5503	"2,178.76"	"2,088"	"1,818"	"1,743.42"	"2,692"	 	
67903	Repair eyelid defect	J1	5503	"2,178.76"	690	161	"1,710.08"	"2,693"	 	
67908	Repair eyelid defect	J1	5503	"2,178.76"	996	297	"1,661.14"	"2,694"	 	
67921	Repair eyelid defect	J1	5503	"2,178.76"	276	136	"1,644.41"	"2,695"	 	
68100	Biopsy conjunctiva	J1	5503	"2,178.76"	278	155	"1,571.36"	"2,696"	 	
68130	Exc les conjunctiva adj scl	J1	5503	"2,178.76"	70	29	"1,515.08"	"2,697"	 	
67880	Revision of eyelid	J1	5503	"2,178.76"	367	177	"1,428.01"	"2,698"	 	
65600	Revision of cornea	J1	5503	"2,178.76"	36	34	"1,338.89"	"2,699"	 	
68420	I&d lacrimal sac	J1	5503	"2,178.76"	34	24	"1,246.72"	"2,700"	 	
53000	Incision of urethra	J1	5373	"2,065.08"	4	3	"5,568.76"	"2,701"	 	
53855	Insert prost urethral stent	J1	5373	"2,065.08"	33	16	"4,662.10"	"2,702"	 	
52276	Cystoscopy and treatment	J1	5373	"2,065.08"	"3,901"	"2,860"	"2,982.29"	"2,703"	 	
52283	Cystoscopy and treatment	J1	5373	"2,065.08"	314	58	"2,957.02"	"2,704"	 	
52290	Cystoscopy and treatment	J1	5373	"2,065.08"	69	26	"2,924.49"	"2,705"	 	
54380	Repair penis	J1	5373	"2,065.08"	1	1	"2,923.53"	"2,706"	 	
54840	Remove epididymis lesion	J1	5373	"2,065.08"	"1,226"	769	"2,883.96"	"2,707"	 	
51045	Incise bladder/drain ureter	J1	5373	"2,065.08"	54	37	"2,793.29"	"2,708"	 	
52275	Cystoscopy & revise urethra	J1	5373	"2,065.08"	291	197	"2,778.48"	"2,709"	 	
52204	Cystoscopy w/biopsy(s)	J1	5373	"2,065.08"	"15,040"	"9,935"	"2,688.51"	"2,710"	 	
50385	Change stent via transureth	J1	5373	"2,065.08"	178	115	"2,678.11"	"2,711"	 	
51040	Incise & drain bladder	J1	5373	"2,065.08"	"2,334"	"1,760"	"2,644.83"	"2,712"	 	
54163	Repair of circumcision	J1	5373	"2,065.08"	107	63	"2,606.76"	"2,713"	 	
54161	Circum 28 days or older	J1	5373	"2,065.08"	"3,909"	"3,045"	"2,563.93"	"2,714"	 	
53265	Treatment of urethra lesion	J1	5373	"2,065.08"	200	118	"2,551.94"	"2,715"	 	
54150	Circumcision w/regionl block	J1	5373	"2,065.08"	378	293	"2,535.65"	"2,716"	 	
53200	Biopsy of urethra	J1	5373	"2,065.08"	128	44	"2,529.11"	"2,717"	 	
52287	Cystoscopy chemodenervation	J1	5373	"2,065.08"	"21,328"	"18,789"	"2,521.49"	"2,718"	 	
51060	Removal of ureter stone	J1	5373	"2,065.08"	1	1	"2,511.79"	"2,719"	 	
52005	Cysto w/urtrl cathj	J1	5373	"2,065.08"	"9,028"	"4,796"	"2,511.35"	"2,720"	 	
53020	Incision of urethra	J1	5373	"2,065.08"	105	93	"2,470.48"	"2,721"	 	
50432	Plmt nephrostomy catheter	J1	5373	"2,065.08"	"5,271"	"3,163"	"2,426.52"	"2,722"	 	
52270	Cystoscopy & revise urethra	J1	5373	"2,065.08"	34	10	"2,425.70"	"2,723"	 	
55120	Removal of scrotum lesion	J1	5373	"2,065.08"	19	10	"2,386.85"	"2,724"	 	
54164	Frenulotomy of penis	J1	5373	"2,065.08"	30	9	"2,353.02"	"2,725"	 	
52260	Cystoscopy and treatment	J1	5373	"2,065.08"	"1,938"	"1,398"	"2,350.90"	"2,726"	 	
52281	Cystoscopy and treatment	J1	5373	"2,065.08"	"10,354"	"9,378"	"2,343.97"	"2,727"	 	
52315	Cystoscopy and treatment	J1	5373	"2,065.08"	879	793	"2,294.84"	"2,728"	 	
54001	Slitting of prepuce	J1	5373	"2,065.08"	504	336	"2,147.83"	"2,729"	 	
54700	Drainage of scrotum	J1	5373	"2,065.08"	300	242	"2,128.81"	"2,730"	 	
55700	Biopsy of prostate	J1	5373	"2,065.08"	"47,140"	"44,054"	"2,110.34"	"2,731"	 	
53025	Incision of urethra	J1	5373	"2,065.08"	0	0	"2,065.08"	"2,732"	 	
53085	Drainage of urinary leakage	J1	5373	"2,065.08"	0	0	"2,065.08"	"2,733"	 	
53860	Transurethral rf treatment	J1	5373	"2,065.08"	0	0	"2,065.08"	"2,734"	 	
54385	Repair penis	J1	5373	"2,065.08"	0	0	"2,065.08"	"2,735"	 	
54560	Exploration for testis	J1	5373	"2,065.08"	0	0	"2,065.08"	"2,736"	 	
54900	Fusion of spermatic ducts	J1	5373	"2,065.08"	0	0	"2,065.08"	"2,737"	 	
55450	Ligation of sperm duct	J1	5373	"2,065.08"	0	0	"2,065.08"	"2,738"	YES	
55600	Vesiculotomy	J1	5373	"2,065.08"	0	0	"2,065.08"	"2,739"	 	
C9748	Prostatic rf water vapor tx	J1	5373	"2,065.08"	0	0	"2,065.08"	"2,740"	YES	
51102	Drain bl w/cath insertion	J1	5373	"2,065.08"	"8,282"	"6,988"	"2,035.82"	"2,741"	 	
50434	Convert nephrostomy catheter	J1	5373	"2,065.08"	"1,063"	696	"2,007.05"	"2,742"	 	
52265	Cystoscopy and treatment	J1	5373	"2,065.08"	58	46	"1,973.17"	"2,743"	 	
54162	Lysis penil circumic lesion	J1	5373	"2,065.08"	72	38	"1,948.80"	"2,744"	 	
53665	Dilation of urethra	J1	5373	"2,065.08"	44	27	"1,909.92"	"2,745"	 	
50382	Change ureter stent percut	J1	5373	"2,065.08"	641	389	"1,828.27"	"2,746"	 	
50688	Change of ureter tube/stent	J1	5373	"2,065.08"	"5,275"	"3,672"	"1,696.42"	"2,747"	 	
55250	Removal of sperm duct(s)	J1	5373	"2,065.08"	171	120	"1,672.62"	"2,748"	 	
50387	Change nephroureteral cath	J1	5373	"2,065.08"	"4,172"	"2,746"	"1,616.59"	"2,749"	 	
52310	Cystoscopy and treatment	J1	5373	"2,065.08"	"20,125"	"18,355"	"1,499.96"	"2,750"	 	
50435	Exchange nephrostomy cath	J1	5373	"2,065.08"	"27,198"	"15,835"	"1,467.80"	"2,751"	 	
50020	Drg perirnl/renal absc open	J1	5373	"2,065.08"	5	4	960.55	"2,752"	 	
53060	Drainage of urethra abscess	J1	5373	"2,065.08"	1	1	493.70	"2,753"	 	
43290	Egd flx trnsorl dplmnt balo	J1	5302	"1,900.61"	8	8	"4,362.42"	"2,754"	 	
43194	Esophagoscp rig trnso rem fb	J1	5302	"1,900.61"	41	28	"2,991.26"	"2,755"	 	
43270	Egd lesion ablation	J1	5302	"1,900.61"	"10,705"	"9,696"	"2,989.91"	"2,756"	 	
43204	Esoph scope w/sclerosis inj	J1	5302	"1,900.61"	2	1	"2,980.19"	"2,757"	 	
43275	Ercp remove forgn body duct	J1	5302	"1,900.61"	"10,956"	"2,371"	"2,881.33"	"2,758"	 	
43192	Esophagoscp rig trnso inject	J1	5302	"1,900.61"	139	45	"2,878.50"	"2,759"	 	
43254	Egd endo mucosal resection	J1	5302	"1,900.61"	"4,717"	"3,013"	"2,623.06"	"2,760"	 	
43196	Esophagoscp guide wire dilat	J1	5302	"1,900.61"	163	114	"2,614.04"	"2,761"	 	
43227	Esophagoscopy control bleed	J1	5302	"1,900.61"	19	17	"2,604.50"	"2,762"	 	
0647T	Insj gtube perq mag gastrpxy	J1	5302	"1,900.61"	1	1	"2,572.39"	"2,763"	 	
44378	Small bowel endoscopy	J1	5302	"1,900.61"	411	341	"2,515.30"	"2,764"	 	
43253	Egd us transmural injxn/mark	J1	5302	"1,900.61"	"1,186"	952	"2,403.66"	"2,765"	 	
43191	Esophagoscopy rigid trnso dx	J1	5302	"1,900.61"	"1,060"	125	"2,397.37"	"2,766"	 	
43193	Esophagoscp rig trnso biopsy	J1	5302	"1,900.61"	111	28	"2,388.75"	"2,767"	 	
43214	Esophagosc dilate balloon 30	J1	5302	"1,900.61"	111	77	"2,372.76"	"2,768"	 	
43232	Esophagoscopy w/us needle bx	J1	5302	"1,900.61"	357	264	"2,365.48"	"2,769"	 	
43226	Esoph endoscopy dilation	J1	5302	"1,900.61"	514	395	"2,354.90"	"2,770"	 	
32556	Insert cath pleura w/o image	J1	5302	"1,900.61"	407	282	"2,348.01"	"2,771"	 	
43213	Esophagoscopy retro balloon	J1	5302	"1,900.61"	50	32	"2,323.37"	"2,772"	 	
43242	Egd us fine needle bx/aspir	J1	5302	"1,900.61"	"15,453"	"13,478"	"2,309.85"	"2,773"	 	
44384	Small bowel endoscopy	J1	5302	"1,900.61"	22	22	"2,280.12"	"2,774"	 	
44377	Small bowel endoscopy/biopsy	J1	5302	"1,900.61"	349	277	"2,276.33"	"2,775"	 	
43238	Egd us fine needle bx/aspir	J1	5302	"1,900.61"	"13,991"	"12,135"	"2,274.82"	"2,776"	 	
43241	Egd tube/cath insertion	J1	5302	"1,900.61"	678	571	"2,262.66"	"2,777"	 	
43211	Esophagoscop mucosal resect	J1	5302	"1,900.61"	33	20	"2,260.17"	"2,778"	 	
43215	Esophagoscopy flex remove fb	J1	5302	"1,900.61"	240	169	"2,227.94"	"2,779"	 	
44364	Small bowel endoscopy	J1	5302	"1,900.61"	211	123	"2,226.46"	"2,780"	 	
43233	Egd balloon dil esoph30 mm/>	J1	5302	"1,900.61"	783	727	"2,200.17"	"2,781"	 	
44366	Small bowel endoscopy	J1	5302	"1,900.61"	"1,301"	"1,069"	"2,140.98"	"2,782"	 	
49436	Embedded ip cath exit-site	J1	5302	"1,900.61"	77	73	"2,130.97"	"2,783"	 	
43255	Egd control bleeding any	J1	5302	"1,900.61"	"8,963"	"7,492"	"2,124.74"	"2,784"	 	
44369	Small bowel endoscopy	J1	5302	"1,900.61"	548	419	"2,096.71"	"2,785"	 	
49441	Place duod/jej tube perc	J1	5302	"1,900.61"	194	157	"2,093.11"	"2,786"	 	
43201	Esoph scope w/submucous inj	J1	5302	"1,900.61"	166	71	"2,068.74"	"2,787"	 	
44365	Small bowel endoscopy	J1	5302	"1,900.61"	20	12	"2,053.25"	"2,788"	 	
