	"Data Addendum B.-Data Status Indicators, Data APC Assignments, and Data Comment Indicators Used in the Development of the Geometric Mean Costs for HCPCS codes and APCs for CY 2025"						
E0280	Bed cradle	Y					
E0290	Hosp bed fx ht w/o rails w/m	Y					
E0291	Hosp bed fx ht w/o rail w/o	Y					
E0292	Hosp bed var ht no sr w/matt	Y					
E0293	Hosp bed var ht no sr no mat	Y					
E0294	Hosp bed semi-elect w/ mattr	Y					
E0295	Hosp bed semi-elect w/o matt	Y					
E0296	Hosp bed total elect w/ matt	Y					
E0297	Hosp bed total elect w/o mat	Y					
E0300	Enclosed ped crib hosp grade	Y					
E0301	"Hd hosp bed, 350-600 lbs"	Y					
E0302	Ex hd hosp bed > 600 lbs	Y					
E0303	Hosp bed hvy dty xtra wide	Y					
E0304	Hosp bed xtra hvy dty x wide	Y					
E0305	Rails bed side half length	Y					
E0310	Rails bed side full length	Y					
E0315	Bed accessory brd/tbl/supprt	E1					
E0316	Bed safety enclosure	Y					
E0325	Urinal male jug-type	Y					
E0326	Urinal female jug-type	Y					
E0328	"Ped hospital bed, manual"	Y		NI8			
E0329	Ped hospital bed semi/elect	Y		NI8			
E0350	Control unit bowel system	E1					
E0352	Disposable pack w/bowel syst	E1					
E0370	Air elevator for heel	E1					
E0371	Nonpower mattress overlay	Y					
E0372	Powered air mattress overlay	Y					
E0373	Nonpowered pressure mattress	Y					
E0424	Stationary compressed gas 02	Y					
E0425	Gas system stationary compre	E1					
E0430	Oxygen system gas portable	E1					
E0431	Portable gaseous 02	Y					
E0433	Portable liquid oxygen sys	Y		NI10			
E0434	Portable liquid 02	Y					
E0435	Oxygen system liquid portabl	E1					
E0439	Stationary liquid 02	Y					
E0440	Oxygen system liquid station	E1					
E0441	"Stationary o2 contents, gas"	Y					
E0442	"Stationary o2 contents, liq"	Y					
E0443	"Portable 02 contents, gas"	Y					
E0444	"Portable 02 contents, liquid"	Y					
E0445	Oximeter non-invasive	N					
E0446	"Topical ox deliver sys, nos"	A		NI11			
E0447	"Port o2 cont, liq over 4 lpm"	Y		NI19			
E0455	Oxygen tent excl croup/ped t	Y					
E0457	Chest shell	E1		CF14			
E0459	Chest wrap	E1		CF14			
E0462	Rocking bed w/ or w/o side r	Y					
E0465	Home vent invasive interface	Y		NI16			
E0466	Home vent non-invasive inter	Y		NI16			
E0467	Home vent multi-function	Y		NI19			
E0468	Home vent dual fnct incl all	Y		NA24			
E0469	Lung expans high oscil neb 	Y 		NO24			
E0470	Rad w/o backup non-inv intfc	Y					
E0471	Rad w/backup non inv intrfc	Y					
E0472	Rad w backup invasive intrfc	Y					
E0480	Percussor elect/pneum home m	Y					
E0481	Intrpulmnry percuss vent sys	E1					
E0482	Cough stimulating device	Y					
E0483	Hi freq chest wall oscil sys	Y					
E0484	Non-elec oscillatory pep dvc	Y					
E0485	Oral device/appliance prefab	Y		NI6			
E0486	Oral device/appliance cusfab	Y		NI6			
E0487	Electronic spirometer	N		NI9			
E0490	Control unit nm hw remote	E1		NO23			
E0491	Oral dv nm mouthpc hw remote	E1		NO23			
E0492	Control unit nm stim w phone	E1		NI24			
E0493	Oral dv/app neuromus mouthpi	E1		NI24			
E0500	Ippb all types	Y					
E0530	Electronic posa treatment	Y		NI24			
E0550	Humidif extens supple w ippb	Y					
E0555	Humidifier for use w/ regula	Y					
E0560	Humidifier supplemental w/ i	Y					
E0561	Humidifier nonheated w pap	Y					
E0562	Humidifier heated used w pap	Y					
E0565	Compressor air power source	Y					
E0570	Nebulizer with compression	Y					
E0572	Aerosol compressor adjust pr	Y					
E0574	Ultrasonic generator w svneb	Y					
E0575	Nebulizer ultrasonic	Y					
E0580	Nebulizer for use w/ regulat	Y					
E0585	Nebulizer w/ compressor & he	Y					
E0600	Suction pump portab hom modl	Y					
E0601	Cont airway pressure device	Y					
E0602	Manual breast pump	Y					
E0603	Electric breast pump	N					
E0604	Hosp grade elec breast pump	A					
E0605	Vaporizer room type	Y					
E0606	Drainage board postural	Y					
E0607	Blood glucose monitor home	Y					
E0610	Pacemaker monitr audible/vis	Y					
E0615	Pacemaker monitr digital/vis	Y					
E0616	Cardiac event recorder	N					
E0617	Automatic ext defibrillator	Y					
E0618	Apnea monitor	Y					
E0619	Apnea monitor w recorder	Y					
E0620	Cap bld skin piercing laser	Y					
E0621	Patient lift sling or seat	Y					
E0625	Patient lift bathroom or toi	E1					
E0627	"Seat lift mech, electric any"	Y					
E0629	"Seat lift mech, non-electric"	Y					
E0630	Patient lift hydraulic	Y					
E0635	Patient lift electric	Y					
E0636	Pt support & positioning sys	Y					
E0637	Combination sit to stand sys	E1					
E0638	Standing frame sys	E1					
E0639	Moveable patient lift system	E1					
E0640	Fixed patient lift system	E1					
E0641	Multi-position stnd fram sys	E1		NI6			
E0642	Dynamic standing frame	E1		NI6			
E0650	Pneuma compresor non-segment	Y					
E0651	Pneum compressor segmental	Y					
E0652	Pneum compres w/cal pressure	Y					
E0655	Pneumatic appliance half arm	Y					
E0656	Segmental pneumatic trunk	Y		NI9			
E0657	Segmental pneumatic chest	Y		NI9			
E0660	Pneumatic appliance full leg	Y					
E0665	Pneumatic appliance full arm	Y					
E0666	Pneumatic appliance half leg	Y					
E0667	Seg pneumatic appl full leg	Y					
E0668	Seg pneumatic appl full arm	Y					
E0669	Seg pneumatic appli half leg	Y					
E0670	Seg pneum int legs/trunk	Y		NI13			
E0671	Pressure pneum appl full leg	Y					
E0672	Pressure pneum appl full arm	Y					
E0673	Pressure pneum appl half leg	Y					
E0675	Pneumatic compression device	Y					
E0676	Inter limb compress dev nos	Y		NI7			
E0677	Non pneum seq comp trunk	Y		NA23 			
E0678	Non pneum seq comp full leg	Y		NI24			
E0679	Non pneum seq comp half leg	Y		NI24			
E0680	Non pneum comp control cal	Y		NI24			
E0681	Non pneu comp control w/o ca	Y		NI24			
E0682	Non pneum compress full arm	Y		NI24			
E0683	Non pneu peristalic comp pmp	Y 		NO24			
E0691	Uvl pnl 2 sq ft or less	Y					
E0692	Uvl sys panel 4 ft	Y					
E0693	Uvl sys panel 6 ft	Y					
E0694	Uvl md cabinet sys 6 ft	Y					
E0700	Safety equipment	E1					
E0705	Transfer device	B		NI6			
E0710	Restraints any type	E1					
E0711	Ue enclosure restr rom	E1		NA23			
E0715	Intravag pelvic floor kegel	E1		NO24			
E0716	Supp and acces intravag pelv	E1		NO24			
E0720	Tens two lead	Y					
E0721	Trans elec stim auricular	Y		NO24			
E0730	Tens four lead	Y					
E0731	Conductive garment for tens/	Y					
E0732	Ces system	Y		NI24			
E0733	Trans elec nerv for trigemin	Y		NI24			
E0734	Ext up limb tremor stim wris	Y		NI24			
E0735	Non-invasive vagus nerv stim	Y		NI24			
E0736	Transcut tibial nerv stimula	A		NA24			
E0737	Transcut tibial stim by app	E1		NO24			
E0738	Upper extremity rehab	A		NA24			
E0739	Rehab sys active assist rt	A		NA24			
E0740	Non-implant pelv flr e-stim	Y					
E0743	Ext low ext nerve stimu rls 	Y		NO24			
E0744	Neuromuscular stim for scoli	Y					
E0745	Neuromuscular stim for shock	Y					
E0746	Electromyograph biofeedback	N					
E0747	Elec osteogen stim not spine	Y					
E0748	Elec osteogen stim spinal	Y					
E0749	Elec osteogen stim implanted	N					
E0755	Electronic salivary reflex s	E1					
E0760	Osteogen ultrasound stimltor	Y					
E0761	Nontherm electromgntc device	E1					
E0762	Trans elec jt stim dev sys	B		NI6			
E0764	Functional neuromuscularstim	Y		NI6			
E0765	Nerve stimulator for tx n&v	Y					
E0766	Elec stim cancer treatment	Y		NI14			
E0767	Intrabuc am rf emf cancer tx	Y 		NO24			
E0769	Electric wound treatment dev	B					
E0770	Functional electric stim nos	Y		NI9			
E0776	Iv pole	Y					
E0779	Amb infusion pump mechanical	Y					
E0780	Mech amb infusion pump <8hrs	Y					
E0781	External ambulatory infus pu	Y					
E0782	Non-programble infusion pump	N					
E0783	Programmable infusion pump	N					
E0784	Ext amb infusn pump insulin	Y					
E0785	Replacement impl pump cathet	N					
E0786	Implantable pump replacement	N					
E0787	Cgs dose adj insulin inf pmp	E1		NI20			
E0791	Parenteral infusion pump sta	Y					
E0830	Ambulatory traction device	N					
E0840	Tract frame attach headboard	Y					
E0849	Cervical pneum trac equip	Y					
E0850	Traction stand free standing	Y					
E0855	Cervical traction equipment	Y					
E0856	Cervic collar w air bladders	Y		NI8			
E0860	Tract equip cervical tract	Y					
E0870	Tract frame attach footboard	Y					
E0880	Trac stand free stand extrem	Y					
E0890	Traction frame attach pelvic	Y					
E0900	Trac stand free stand pelvic	Y					
E0910	Trapeze bar attached to bed	Y					
E0911	Hd trapeze bar attach to bed	Y		NI6			
E0912	Hd trapeze bar free standing	Y		NI6			
E0920	Fracture frame attached to b	Y					
E0930	Fracture frame free standing	Y					
E0935	Cont pas motion exercise dev	Y					
E0936	"Cpm device, other than knee"	E1		NI7			
E0940	Trapeze bar free standing	Y					
E0941	Gravity assisted traction de	Y					
E0942	Cervical head harness/halter	Y					
E0944	Pelvic belt/harness/boot	Y					
E0945	Belt/harness extremity	Y					
E0946	Fracture frame dual w cross	Y					
E0947	Fracture frame attachmnts pe	Y					
E0948	Fracture frame attachmnts ce	Y					
E0950	Tray	Y					
E0951	Loop heel	Y					
E0952	"Toe loop/holder, each"	Y					
E0953	W/c lateral thigh/knee sup	Y		NI18			
E0954	"Foot box, any type each foot"	Y		NI18			
E0955	Cushioned headrest	Y					
E0956	W/c lateral trunk/hip suppor	Y					
E0957	W/c medial thigh support	Y					
E0958	Whlchr att- conv 1 arm drive	Y					
E0959	Amputee adapter	B					
E0960	W/c shoulder harness/straps	Y					
E0961	Wheelchair brake extension	B					
E0966	Wheelchair head rest extensi	B					
E0967	Man wc rim/projection rep ea	Y					
E0968	Wheelchair commode seat	Y					
E0969	Wheelchair narrowing device	Y					
E0970	Wheelchair no. 2 footplates	E1		CF8			
E0971	Wheelchair anti-tipping devi	B					
E0973	W/ch access det adj armrest	B					
E0974	W/ch access anti-rollback	B					
E0978	"W/c acc,saf belt pelv strap"	B					
E0980	Wheelchair safety vest	Y					
E0981	"Seat upholstery, replacement"	Y					
E0982	"Back upholstery, replacement"	Y					
E0983	Add pwr joystick	Y					
E0984	Add pwr tiller	Y					
E0985	W/c seat lift mechanism	Y					
E0986	Man w/c push-rim powr system	Y					
E0988	Lever-activated wheel drive	Y		NI12			
E0990	Wheelchair elevating leg res	B					
E0992	Wheelchair solid seat insert	B					
E0994	Wheelchair arm rest	Y					
E0995	"Wc calf rest, pad replacemnt"	B					
E1002	Pwr seat tilt	Y					
E1003	Pwr seat recline	Y					
E1004	Pwr seat recline mech	Y					
E1005	Pwr seat recline pwr	Y					
E1006	Pwr seat combo w/o shear	Y					
E1007	Pwr seat combo w/shear	Y					
E1008	Pwr seat combo pwr shear	Y					
E1009	Add mech leg elevation	Y					
E1010	Add pwr leg elevation	Y					
E1011	Ped wc modify width adjustm	Y					
E1012	Ctr mount pwr elev leg rest	Y		NI16			
E1014	Reclining back add ped w/c	Y					
E1015	Shock absorber for man w/c	Y					
E1016	Shock absorber for power w/c	Y					
E1017	Hd shck absrbr for hd man wc	Y					
E1018	Hd shck absrber for hd powwc	Y					
E1020	Residual limb support system	Y					
E1028	W/c manual swingaway	Y					
E1029	W/c vent tray fixed	Y					
E1030	W/c vent tray gimbaled	Y					
E1031	Rollabout chair with casters	Y					
E1035	Patient transfer system <300	Y					
E1036	Patient transfer system >300	Y		NI10			
E1037	"Transport chair, ped size"	Y					
E1038	Transport chair pt wt<=300lb	Y					
E1039	Transport chair pt wt >300lb	Y					
E1050	Whelchr fxd full length arms	Y					
E1060	Wheelchair detachable arms	Y					
E1070	Wheelchair detachable foot r	Y					
E1083	Hemi-wheelchair fixed arms	Y					
E1084	Hemi-wheelchair detachable a	Y					
E1085	Hemi-wheelchair fixed arms	E1		CF8			
E1086	Hemi-wheelchair detachable a	E1		CF8			
E1087	Wheelchair lightwt fixed arm	Y					
E1088	Wheelchair lightweight det a	Y					
E1089	Wheelchair lightwt fixed arm	E1		CF8			
E1090	Wheelchair lightweight det a	E1		CF8			
E1092	Wheelchair wide w/ leg rests	Y					
E1093	Wheelchair wide w/ foot rest	Y					
E1100	Whchr s-recl fxd arm leg res	Y					
E1110	Wheelchair semi-recl detach	Y					
E1130	Whlchr stand fxd arm ft rest	E1		CF8			
E1140	Wheelchair standard detach a	E1		CF8			
E1150	Wheelchair standard w/ leg r	Y					
E1160	Wheelchair fixed arms	Y					
E1161	Manual adult wc w tiltinspac	Y					
E1170	Whlchr ampu fxd arm leg rest	Y					
E1171	Wheelchair amputee w/o leg r	Y					
E1172	Wheelchair amputee detach ar	Y					
E1180	Wheelchair amputee w/ foot r	Y					
E1190	Wheelchair amputee w/ leg re	Y					
E1195	Wheelchair amputee heavy dut	Y					
E1200	Wheelchair amputee fixed arm	Y					
E1220	Whlchr special size/constrc	Y					
E1221	Wheelchair spec size w foot	Y					
E1222	Wheelchair spec size w/ leg	Y					
E1223	Wheelchair spec size w foot	Y					
E1224	Wheelchair spec size w/ leg	Y					
E1225	Manual semi-reclining back	Y					
E1226	Manual fully reclining back	B					
E1227	Wheelchair spec sz spec ht a	Y					
E1228	Wheelchair spec sz spec ht b	Y					
E1229	Pediatric wheelchair nos	Y					
E1230	Power operated vehicle	Y					
E1231	Rigid ped w/c tilt-in-space	Y					
E1232	Folding ped wc tilt-in-space	Y					
E1233	Rig ped wc tltnspc w/o seat	Y					
E1234	Fld ped wc tltnspc w/o seat	Y					
E1235	Rigid ped wc adjustable	Y					
E1236	Folding ped wc adjustable	Y					
E1237	Rgd ped wc adjstabl w/o seat	Y					
E1238	Fld ped wc adjstabl w/o seat	Y					
E1239	Ped power wheelchair nos	Y					
E1240	Whchr litwt det arm leg rest	Y					
E1250	Wheelchair lightwt fixed arm	E1		CF8			
E1260	Wheelchair lightwt foot rest	E1		CF8			
E1270	Wheelchair lightweight leg r	Y					
E1280	Whchr h-duty det arm leg res	Y					
E1285	Wheelchair heavy duty fixed	E1		CF8			
E1290	Wheelchair hvy duty detach a	E1		CF8			
E1295	Wheelchair heavy duty fixed	Y					
E1296	Wheelchair special seat heig	Y					
E1297	Wheelchair special seat dept	Y					
E1298	Wheelchair spec seat depth/w	Y					
E1300	Whirlpool portable	E1					
E1301	Whirlpool tub walkin portabl	E1		NI24			
E1310	Whirlpool non-portable	Y					
E1352	O2 flow reg pos inspir press	Y		NI14			
E1353	Oxygen supplies regulator	Y					
E1354	"Wheeled cart, port cyl/conc"	Y		NI9			
E1355	Oxygen supplies stand/rack	Y					
E1356	"Batt pack/cart, port conc"	Y		NI9			
E1357	"Battery charger, port conc"	Y		NI9			
E1358	"Dc power adapter, port conc"	Y		NI9			
E1372	Oxy suppl heater for nebuliz	Y					
E1390	Oxygen concentrator	Y					
E1391	"Oxygen concentrator, dual"	Y					
E1392	Portable oxygen concentrator	Y		NI6			
E1399	Durable medical equipment mi	Y					
E1405	O2/water vapor enrich w/heat	Y					
E1406	O2/water vapor enrich w/o he	Y					
E1500	Centrifuge	A					
E1510	Kidney dialysate delivry sys	A					
E1520	Heparin infusion pump	A					
E1530	Replacement air bubble detec	A					
E1540	Replacement pressure alarm	A					
E1550	Bath conductivity meter	A					
E1560	Replace blood leak detector	A					
E1570	Adjustable chair for esrd pt	A					
E1575	Transducer protect/fld bar	A					
E1580	Unipuncture control system	A					
E1590	Hemodialysis machine	A					
E1592	Auto interm peritoneal dialy	A					
E1594	Cycler dialysis machine	A					
E1600	Deli/install chrg hemo equip	A					
E1610	Reverse osmosis h2o puri sys	A					
E1615	Deionizer h2o puri system	A					
E1620	Replacement blood pump	A					
E1625	Water softening system	A					
E1629	Tablo for dialysis service	A		NI22			
E1630	Reciprocating peritoneal dia	A					
E1632	Wearable artificial kidney	A					
E1634	Peritoneal dialysis clamp	B					
E1635	Compact travel hemodialyzer	A					
E1636	Sorbent cartridges per 10	A					
E1637	"Hemostats for dialysis, each"	A					
E1639	"Scale, each"	A					
E1699	Dialysis equipment noc	A					
E1700	Jaw motion rehab system	Y					
E1701	Repl cushions for jaw motion	Y					
E1702	Repl measr scales jaw motion	Y					
E1800	Adjust elbow ext & flex dev	Y					
E1801	Sps elbow device	Y					
E1802	Adjst forearm pro/sup device	Y					
E1803	Adjust elbow extension dev	Y		NI25			
E1804	Adjust elbow flexion dev	Y		NI25			
E1805	Adjust wrist ext & flex dev	Y					
E1806	Sps wrist device	Y					
E1807	Adjust wrist extension dev	Y		NI25			
E1808	Adjust wrist flexion device	Y		NI25			
E1810	Adjust knee ext & flex dev	Y					
E1811	Sps knee device	Y					
E1812	Knee ext/flex w act res ctrl	Y		NI6			
E1813	Adjust knee extension device	Y		NI25			
E1814	Adjust knee flexion device	Y		NI25			
E1815	Adjust ankle ext & flex dev	Y					
E1816	Sps ankle device	Y					
E1818	Sps forearm device	Y					
E1820	Soft interface material	Y					
E1821	Replacement interface spsd	Y					
E1822	Adjust ankle extension dev	Y		NI25			
E1823	Adjust ankle flexion device	Y		NI25			
E1825	Adjust finger ext & flex dev	Y					
E1826	Adjust finger extension dev	Y		NI25			
E1827	Adjust finger flexion device	Y		NI25			
E1828	Adjust toe extension device	Y		NI25			
E1829	Adjust toe flexion device	Y		NI25			
E1830	Adjust toe ext & flex device	Y					
E1831	Static str toe dev ext/flex	Y		NI11			
E1840	Adj shoulder ext/flex device	Y					
E1841	Static str shldr dev rom adj	Y					
E1902	Aac non-electronic board	Y		CF9			
E1905	Vr cbt therapy	A		NA23			
E2000	Gastric suction pump hme mdl	Y					
E2001	Suct pum ext mgmt sys	Y		NI24			
E2100	Bld glucose monitor w voice	Y					
E2101	Bld glucose monitor w lance	Y					
E2102	Adju cgm receiver/monitor	Y		NA22			
E2103	Non-adju cgm receiver/mon	Y		NI23			
E2104	Glucose monitor w cartridge	A 		NA24			
E2120	Pulse gen sys tx endolymp fl	Y					
E2201	"Man w/ch acc seat w>=20""<24"""	Y					
E2202	Seat width 24-27 in	Y					
E2203	Frame depth less than 22 in	Y					
E2204	Frame depth 22 to 25 in	Y					
E2205	"Manual wc accessory, handrim"	Y					
E2206	Man wc whl lock comp repl ea	Y					
E2207	Crutch and cane holder	Y		NI6			
E2208	Cylinder tank carrier	Y		NI6			
E2209	Arm trough each	Y		NI6			
E2210	Wheelchair bearings	Y		NI6			
E2211	Pneumatic propulsion tire	Y		NI6			
E2212	Pneumatic prop tire tube	Y		NI6			
E2213	Pneumatic prop tire insert	Y		NI6			
E2214	Pneumatic caster tire each	Y		NI6			
E2215	Pneumatic caster tire tube	Y		NI6			
E2216	Foam filled propulsion tire	Y		NI6			
E2217	Foam filled caster tire each	Y		NI6			
E2218	Foam propulsion tire each	Y		NI6			
E2219	Foam caster tire any size ea	Y		NI6			
E2220	"Solid propuls tire, repl, ea"	Y		NI6			
E2221	"Solid caster tire repl, each"	Y		NI6			
E2222	"Solid caster integ whl, repl"	Y		NI6			
E2224	Propulsion whl excl tire rep	Y		NI6			
E2225	Caster wheel excludes tire	Y		NI6			
E2226	Caster fork replacement only	Y		NI6			
E2227	Gear reduction drive wheel	Y		NI8			
E2228	"Mwc acc, wheelchair brake"	Y		NI8			
E2230	Manual standing system	Y		NI9			
E2231	Solid seat support base	Y		NI9			
E2291	Planar back for ped size wc	Y					
E2292	Planar seat for ped size wc	Y					
E2293	Contour back for ped size wc	Y					
E2294	Contour seat for ped size wc	Y					
E2295	Ped dynamic seating frame	Y		NI9			
E2298	Pwr seat elev sys for crt	Y		NA24			
E2300	Pwr seat elevation sys	Y		DA24			
E2301	Pwr standing	Y					
E2310	Electro connect btw control	Y					
E2311	Electro connect btw 2 sys	Y					
E2312	Mini-prop remote joystick	Y		NI8			
E2313	"Pwc harness, expand control"	Y		NI8			
E2321	Hand interface joystick	Y					
E2322	Mult mech switches	Y					
E2323	Special joystick handle	Y					
E2324	Chin cup interface	Y					
E2325	Sip and puff interface	Y					
E2326	Breath tube kit	Y					
E2327	Head control interface mech	Y					
E2328	Head/extremity control inter	Y					
E2329	Head control nonproportional	Y					
E2330	Head control proximity switc	Y					
E2331	Attendant control	Y					
E2340	W/c wdth 20-23 in seat frame	Y					
E2341	W/c wdth 24-27 in seat frame	Y					
E2342	W/c dpth 20-21 in seat frame	Y					
E2343	W/c dpth 22-25 in seat frame	Y					
E2351	Electronic sgd interface	Y					
E2358	Gr 34 nonsealed leadacid	Y		NI12			
E2359	Gr34 sealed leadacid battery	Y		NI12			
E2360	22nf nonsealed leadacid	Y					
E2361	22nf sealed leadacid battery	Y					
E2362	Gr24 nonsealed leadacid	Y					
E2363	Gr24 sealed leadacid battery	Y					
E2364	U1nonsealed leadacid battery	Y					
E2365	U1 sealed leadacid battery	Y					
E2366	"Battery charger, single mode"	Y					
E2367	"Battery charger, dual mode"	Y					
E2368	Pwr wc drivewheel motor repl	Y					
E2369	Pwr wc drivewheel gear repl	Y					
E2370	Pwr wc dr wh motor/gear comb	Y					
E2371	Gr27 sealed leadacid battery	Y		NI6			
E2372	Gr27 non-sealed leadacid	Y		NI6			
E2373	Hand/chin ctrl spec joystick	Y		NI7			
E2374	Hand/chin ctrl std joystick	Y		NI7			
E2375	Non-expandable controller	Y		NI7			
E2376	"Expandable controller, repl"	Y		NI7			
E2377	"Expandable controller, initl"	Y		NI7			
E2378	Pw actuator replacement	Y		NI13			
E2381	Pneum drive wheel tire	Y		NI7			
E2382	"Tube, pneum wheel drive tire"	Y		NI7			
E2383	"Insert, pneum wheel drive"	Y		NI7			
E2384	Pneumatic caster tire	Y		NI7			
E2385	"Tube, pneumatic caster tire"	Y		NI7			
E2386	Foam filled drive wheel tire	Y		NI7			
E2387	Foam filled caster tire	Y		NI7			
E2388	Foam drive wheel tire	Y		NI7			
E2389	Foam caster tire	Y		NI7			
E2390	Solid drive wheel tire	Y		NI7			
E2391	Solid caster tire	Y		NI7			
E2392	"Solid caster tire, integrate"	Y		NI7			
E2394	Drive wheel excludes tire	Y		NI7			
E2395	Caster wheel excludes tire	Y		NI7			
E2396	Caster fork	Y		NI7			
E2397	"Pwc acc, lith-based battery"	Y		NI8			
E2398	Wc dynamic pos back hardware	Y		NI20			
E2402	Neg press wound therapy pump	Y					
E2500	Sgd digitized pre-rec <=8min	Y					
E2502	Sgd prerec msg >8min <=20min	Y					
E2504	Sgd prerec msg>20min <=40min	Y					
E2506	Sgd prerec msg > 40 min	Y					
E2508	Sgd spelling phys contact	Y					
E2510	Sgd w multi methods msg/accs	Y					
E2511	Sgd sftwre prgrm for pc/pda	Y					
E2512	"Sgd accessory, mounting sys"	Y					
E2513	"Sgd accessory, emg sensor"	Y 		NO24			
E2599	Sgd accessory noc	Y					
E2601	Gen w/c cushion wdth < 22 in	Y					
E2602	Gen w/c cushion wdth >=22 in	Y					
E2603	Skin protect wc cus wd <22in	Y					
E2604	Skin protect wc cus wd>=22in	Y					
E2605	Position wc cush wdth <22 in	Y					
E2606	Position wc cush wdth>=22 in	Y					
E2607	Skin pro/pos wc cus wd <22in	Y					
E2608	Skin pro/pos wc cus wd>=22in	Y					
E2609	Custom fabricate w/c cushion	Y					
E2610	Powered w/c cushion	B					
E2611	Gen use back cush wdth <22in	Y					
E2612	Gen use back cush wdth>=22in	Y					
E2613	Position back cush wd <22in	Y					
E2614	Position back cush wd>=22in	Y					
E2615	Pos back post/lat wdth <22in	Y					
E2616	Pos back post/lat wdth>=22in	Y					
E2617	Custom fab w/c back cushion	Y					
E2619	Replace cover w/c seat cush	Y					
E2620	Wc planar back cush wd <22in	Y					
E2621	Wc planar back cush wd>=22in	Y					
E2622	Adj skin pro w/c cus wd<22in	Y		NI11			
E2623	Adj skin pro wc cus wd>=22in	Y		NI11			
E2624	Adj skin pro/pos cus<22in	Y		NI11			
E2625	Adj skin pro/pos wc cus>=22	Y		NI11			
E2626	Seo mobile arm sup att to wc	Y		NI12			
E2627	Arm supp att to wc rancho ty	Y		NI12			
E2628	Mobile arm supports reclinin	Y		NI12			
E2629	Friction dampening arm supp	Y		NI12			
E2630	Monosuspension arm/hand supp	Y		NI12			
E2631	Elevat proximal arm support	Y		NI12			
E2632	Offset/lat rocker arm w/ela	Y		NI12			
E2633	Mobile arm support supinator	Y		NI12			
E3000	Speech volume modulation sys	Y		NI24			
E3200	Gait mod systm rhym auditory	Y		NO24			
E8000	Posterior gait trainer	E1					
E8001	Upright gait trainer	E1					
E8002	Anterior gait trainer	E1					
G0008	Admin influenza virus vac	S	5691				
G0009	Admin pneumococcal vaccine	S	5691	CP16			
G0010	Admin hepatitis b vaccine	S	5691	CP17			
G0011	"Hiv prep counsel, md 15-30m"	M		NI24			
G0012	Injection of hiv prep drug	S	5692	NI24			
G0013	"Hiv prep counsel, clin staff"	S	5821	NI24			
G0017	Crisis psychotherapy 60m	M		NP24			
G0018	Crisis psychotherapy add 30m	M		NP24			
G0019	Comm hlth intg svs sdoh 60mn	S	5822	NP24			
G0022	Comm hlth intg svs add 30 m	N		NI24			
G0023	Pin service 60m per month	S	5822	NP24			
G0024	Pin srv add 30 min pr m	N		NP24			
G0027	Semen analysis	N		CP16			
G0028	Doc med rsn no scr tob	M 		D23 			
G0029	No tob scr/cess int	M 		NI22 			
G0030	Pt scr tob & cess int	M 		NI22 			
G0031	Pall serv during meas 	M 		NI22 			
G0032	2+ antipsy schiz	M 		NI22 			
G0033	2+ benzo seiz	M 		NI22			
G0034	Pall serv during meas 	M 		NI22			
G0035	Pt ed pos 23	M 		NI22			
G0036	Pt/ptn decln assess	M 		NI22			
G0037	Pt not able to participate	M 		NI22			
G0038	Clin pt no ref	M 		NI22			
G0039	"Pt no ref, rn spec"	M 		NI22			
G0040	Pt phys/occ therapy	M 		NI22			
G0041	Pt/ptn decln referral	M 		NI22			
G0042	Ref to therapy	M 		NI22			
G0043	Pt mech pros ht valv	M 		NI22			
G0044	Pt mitral stenosis	M 		NI22			
G0045	Mrs 90 days post stk	M 		NI22			
G0046	No mrs 90 days post stk	M 		NI22			
G0047	Ped blunt hd traum	M 		NI22			
G0048	Pall serv during meas 	M 		NI22			
G0049	Main hemo in-cntr	M 		NI22			
G0050	Pt w/ lmted life expec	M 		NI22			
G0051	Pt hospice mnth	M 		NI22			
G0052	Pt peri dialysis dur mo	M 		NI22			
G0053	Adv rheum pt care mvp	M 		NI22			
G0054	Strk cr prev pos outcme mvp	M 		NI22			
G0055	Adv care heart dx mvp	M 		NI22			
G0056	Opt chronic dx mang mvp	M 		D24			
G0057	Best pct pt safety em mvp	M 		NI22			
G0058	Imprv care le jnt repr mvp	M 		NI22			
G0059	Pt sfty pos exp w aneth mvp	M 		NI22			
G0060	Allergy/immunology ss	M 		NI22			
G0061	Anesthesiology ss	M 		NI22			
G0062	Audiology ss	M 		NI22			
G0063	Cardiology ss	M 		NI22			
G0064	Cert nurse midwife ss	M 		NI22			
G0065	Chiropractic ss	M 		NI22			
G0066	Clinical social work ss	M 		NI22			
G0067	Dentistry ss	M 		NI22			
G0068	Adm iv infusion drug in home	A		NI19			
G0069	Adm sq infusion drug in home	A		NI19			
G0070	Adm of chemo drug in home	A		NI19			
G0071	Comm svcs by rhc/fqhc 5 min	A		NI19			
G0076	Care manag h vst new pt 20 m	B		NI19			
G0077	Care manag h vst new pt 30 m	B		NI19			
G0078	Care manag h vst new pt 45 m	B		NI19			
G0079	Care manag h vst new pt 60 m	B		NI19			
G0080	Care manag h vst new pt 75 m	B		NI19			
G0081	Care man h v ext pt 20 mi	B		NI19			
G0082	Care man h v ext pt 30 m	B		NI19			
G0083	Care man h v ext pt 45 m	B		NI19			
G0084	Care man h v ext pt 60 m	B		NI19			
G0085	Care man h v ext pt 75 m	B		NI19			
G0086	Care man home care plan 30 m	B		NI19			
G0087	Care man home care plan 60 m	B		NI19			
